iter	Passed	Remaining
1194	50920	34302
1195	50964	34260
1196	51007	34218
1197	51056	34179
1198	51100	34138
1199	51147	34098
1200	51192	34057
1201	51234	34014
1202	51280	33973
1203	51325	33932
1204	51369	33891
1205	51412	33848
1206	51460	33809
1207	51504	33767
1208	51549	33726
1209	51593	33685
1210	51638	33644
1211	51690	33607
1212	51732	33564
1213	51779	33524
1214	51825	33483
1215	51870	33442
1216	51913	33400
1217	51961	33360
1218	52009	33321
1219	52057	33282
1220	52103	33242
1221	52151	33202
1222	52195	33160
1223	52238	33118
1224	52291	33082
1225	52332	33038
1226	52379	32998
1227	52423	32956
1228	52467	32914
1229	52509	32871
1230	52554	32830
1231	52597	32788
1232	52641	32745
1233	52685	32704
1234	52727	32661
1235	52773	32620
1236	52814	32576
1237	52858	32534
1238	52902	32493
1239	52945	32450
1240	52989	32408
1241	53031	32365
1242	53075	32323
1243	53118	32281
1244	53161	32238
1245	53203	32195
1246	53246	32152
1247	53291	32111
1248	53334	32069
1249	53376	32026
1250	53419	31983
1251	53462	31940
1252	53505	31898
1253	53547	31855
1254	53594	31815
1255	53637	31772
1256	53679	31729
1257	53721	31686
1258	53761	31642
1259	53805	31599
1260	53849	31557
1261	53895	31517
1262	53937	31474
1263	53980	31431
1264	54023	31388
1265	54068	31347
1266	54111	31305
1267	54159	31265
1268	54204	31224
1269	54246	31181
1270	54292	31139
1271	54334	31096
1272	54377	31054
1273	54420	31012
1274	54469	30972
1275	54513	30930
1276	54559	30889
1277	54603	30847
1278	54645	30804
1279	54690	30763
1280	54734	30721
1281	54783	30682
1282	54826	30639
1283	54869	30596
1284	54915	30555
1285	54956	30512
1286	55002	30471
1287	55044	30428
1288	55092	30388
1289	55136	30346
1290	55183	30306
1291	55225	30262
1292	55268	30220
1293	55314	30179
1294	55356	30136
1295	55404	30096
1296	55447	30053
1297	55493	30012
1298	55535	29969
1299	55581	29928
1300	55624	29885
1301	55666	29842
1302	55714	29802
1303	55756	29759
1304	55803	29718
1305	55845	29675
1306	55892	29635
1307	55935	29592
1308	55983	29552
1309	56029	29511
1310	56077	29471
1311	56121	29429
1312	56165	29387
1313	56213	29347
1314	56254	29303
1315	56303	29264
1316	56347	29222
1317	56390	29179
1318	56432	29135
1319	56473	29092
1320	56521	29052
1321	56563	29009
1322	56605	28966
1323	56650	28924
1324	56695	28882
1325	56738	28839
1326	56783	28798
1327	56826	28755
1328	56868	28712
1329	56916	28672
1330	56958	28628
1331	57002	28586
1332	57045	28544
1333	57089	28501
1334	57131	28458
1335	57172	28415
1336	57216	28372
1337	57258	28329
1338	57304	28288
1339	57353	28248
1340	57405	28210
1341	57450	28168
1342	57499	28129
1343	57545	28087
1344	57591	28046
1345	57635	28004
1346	57678	27961
1347	57720	27918
1348	57762	27875
1349	57805	27832
1350	57847	27789
1351	57895	27748
1352	57937	27705
1353	57981	27663
1354	58024	27620
1355	58065	27576
1356	58110	27535
1357	58153	27492
1358	58197	27450
1359	58240	27407
1360	58284	27364
1361	58328	27322
1362	58368	27278
1363	58415	27237
1364	58466	27198
1365	58514	27158
1366	58558	27116
1367	58605	27075
1368	58645	27030
1369	58690	26988
1370	58734	26946
1371	58779	26905
1372	58826	26864
1373	58868	26820
1374	58915	26779
1375	58958	26736
1376	59004	26695
1377	59045	26651
1378	59096	26612
1379	59143	26571
1380	59185	26528
1381	59233	26488
1382	59278	26445
1383	59325	26404
1384	59367	26361
1385	59416	26321
1386	59460	26279
1387	59509	26239
1388	59550	26195
1389	59596	26153
1390	59641	26112
1391	59684	26068
1392	59732	26028
1393	59778	25986
1394	59825	25945
1395	59866	25902
1396	59916	25862
1397	59958	25819
1398	60009	25779
1399	60052	25736
1400	60098	25695
1401	60145	25654
1402	60191	25612
1403	60233	25569
1404	60277	25526
1405	60325	25485
1406	60365	25442
1407	60411	25400
1408	60452	25356
1409	60491	25312
1410	60536	25269
1411	60577	25226
1412	60623	25184
1413	60666	25141
1414	60709	25098
1415	60751	25055
1416	60792	25012
1417	60835	24969
1418	60876	24925
1419	60922	24883
1420	60963	24840
1421	61010	24798
1422	61052	24755
1423	61093	24711
1424	61137	24669
1425	61179	24626
1426	61224	24584
1427	61266	24540
1428	61311	24498
1429	61354	24456
1430	61397	24413
1431	61440	24370
1432	61483	24327
1433	61526	24284
1434	61569	24241
1435	61616	24200
1436	61658	24157
1437	61699	24113
1438	61743	24070
1439	61786	24027
1440	61828	23984
1441	61873	23942
1442	61921	23901
1443	61961	23857
1444	62006	23815
1445	62050	23773
1446	62091	23729
1447	62137	23687
1448	62182	23645
1449	62227	23603
1450	62270	23560
1451	62317	23519
1452	62359	23475
1453	62403	23433
1454	62447	23391
1455	62491	23348
1456	62537	23306
1457	62579	23263
1458	62624	23221
1459	62670	23179
1460	62712	23136
1461	62758	23094
1462	62802	23052
1463	62845	23008
1464	62888	22965
1465	62935	22924
1466	62979	22882
1467	63022	22839
1468	63067	22797
1469	63110	22754
1470	63157	22712
1471	63203	22670
1472	63246	22627
1473	63289	22584
1474	63334	22542
1475	63378	22500
1476	63421	22457
1477	63468	22415
1478	63509	22372
1479	63556	22330
1480	63601	22288
1481	63643	22245
1482	63687	22202
1483	63736	22161
1484	63783	22120
1485	63830	22078
1486	63874	22036
1487	63920	21994
1488	63966	21952
1489	64010	21909
1490	64055	21867
1491	64101	21825
1492	64146	21783
1493	64188	21739
1494	64236	21698
1495	64283	21657
1496	64327	21614
1497	64372	21572
1498	64415	21528
1499	64456	21485
1500	64499	21442
1501	64541	21399
1502	64582	21355
1503	64625	21312
1504	64668	21269
1505	64711	21226
1506	64752	21183
1507	64793	21139
1508	64837	21096
1509	64880	21054
1510	64921	21010
1511	64969	20968
1512	65013	20926
1513	65055	20882
1514	65097	20839
1515	65140	20796
1516	65183	20753
1517	65226	20710
1518	65272	20668
1519	65315	20625
1520	65359	20583
1521	65399	20539
1522	65445	20497
1523	65487	20454
1524	65531	20411
1525	65577	20369
1526	65621	20326
1527	65665	20284
1528	65708	20241
1529	65749	20197
1530	65792	20154
1531	65836	20111
1532	65881	20069
1533	65927	20027
1534	65971	19984
1535	66014	19941
1536	66060	19899
1537	66101	19856
1538	66147	19814
1539	66191	19771
1540	66234	19728
1541	66279	19686
1542	66320	19642
1543	66367	19600
1544	66411	19558
1545	66457	19515
1546	66501	19473
1547	66547	19431
1548	66590	19388
1549	66632	19344
1550	66677	19302
1551	66720	19259
1552	66768	19217
1553	66812	19175
1554	66860	19133
1555	66901	19090
1556	66947	19047
1557	66992	19005
1558	67033	18962
1559	67081	18920
1560	67125	18877
1561	67170	18835
1562	67213	18792
1563	67261	18750
1564	67304	18707
1565	67352	18665
1566	67397	18623
1567	67443	18581
1568	67491	18539
1569	67534	18496
1570	67585	18455
1571	67673	18425
1572	67722	18383
1573	67767	18341
1574	67812	18298
1575	67861	18257
1576	67907	18214
1577	67958	18173
1578	68005	18132
1579	68052	18089
1580	68105	18049
1581	68148	18006
1582	68194	17964
1583	68239	17921
1584	68284	17878
1585	68328	17836
1586	68374	17793
1587	68415	17750
1588	68461	17707
1589	68516	17667
1590	68562	17625
